Dataset,AE_1,AE_2,AE_3,AE_4
IOPS_337,-0.72924453,0.16251218,-0.307038,0.6726212
IOPS_338,0.7070357,0.5393453,-0.66230685,-1.2084048
IOPS_342,-0.9149502,-0.4894108,-0.55252707,2.0052214
IOPS_344,0.42975608,-0.74823964,1.4601071,0.03768849
IOPS_353,1.9203682,-0.5825129,0.20140262,-0.74960303
IOPS_365,0.6902395,-0.48528403,0.8297136,-0.12052002
IOPS_381,1.0390881,-0.7187062,1.0784652,-0.25267437
IOPS_393,1.7536706,-0.42786774,0.18600498,-0.7149356
IOPS_394,2.0268664,-0.4241237,-0.20508204,-0.93162763
IOPS_396,1.9657363,-0.49932113,0.006269156,-0.8479861
IOPS_401,0.1875087,-0.75878584,1.6524367,0.17956905
IOPS_418,0.6427602,-0.3530029,0.82714635,-0.18927409
IOPS_427,1.2954975,-0.07974235,0.23044294,-0.81373775
IOPS_450,1.5379292,-0.3617202,0.31567857,-0.7014026
IOPS_459,-0.5602208,-0.83640647,1.6754423,1.0576497
IOPS_46,1.914481,-0.5872584,0.19780089,-0.7335993
IOPS_461,1.8533719,-0.31972107,-0.06929722,-0.9018768
IOPS_475,1.972382,-0.5899629,0.121353954,-0.8002998
IOPS_478,1.9238993,-0.57082254,0.17325225,-0.7736643
IOPS_52,1.9583875,-0.4539826,-0.027383938,-0.8683749
IOPS_59,1.5274214,-0.6344962,0.71150964,-0.48680246
IOPS_68,0.2479618,-0.79906553,1.5261818,0.21138097
IOPS_71,0.23383176,-0.72581196,1.3646402,0.24898167
IOPS_81,0.5916005,-0.6316974,1.0044394,0.018542731
IOPS_87,0.48024914,-0.46294126,0.52852595,0.17807223
IOPS_89,1.1420217,-0.54898673,0.6492113,-0.28336865
IOPS_94,0.6598914,-0.8082841,1.6404222,-0.23335092
IOPS_96,1.8432152,-0.6239182,0.33996612,-0.7045379
TravelTime_387,1.3257779,0.117562436,-0.1131475,-0.99268186
TravelTime_451,-0.26591927,-0.121214114,0.6192476,0.28628278
Twitter_volume_AAPL,-0.90073603,-0.42131352,-0.2520942,1.8293107
Twitter_volume_AMZN,0.9452245,-0.026963396,0.022845004,-0.50761014
Twitter_volume_CRM,0.2794714,-0.25553188,0.39292672,0.047360767
Twitter_volume_CVS,-0.7449623,-0.92769355,1.1889417,1.4925474
Twitter_volume_FB,-0.68164784,0.6287446,-0.723466,-0.57989585
Twitter_volume_GOOG,1.2565734,0.010374064,-0.040781952,-0.7959512
Twitter_volume_IBM,1.1148694,-0.08539222,0.13365825,-0.65325236
Twitter_volume_KO,-0.756171,0.1972374,-0.2632852,0.53843135
Twitter_volume_PFE,0.7231507,-0.32378304,0.8149864,-0.3424605
Twitter_volume_UPS,-0.8429678,-0.5062731,0.35160324,1.4946033
Yahoo_A1real_10_data,1.9073443,-0.661042,0.35273716,-0.72451216
Yahoo_A1real_11_data,-0.70777893,0.0007855019,-0.43541265,1.187789
Yahoo_A1real_12_data,-0.037711725,-0.2742448,0.12672585,0.75658536
Yahoo_A1real_13_data,-0.9194978,-0.48137718,-0.72425926,2.2433043
Yahoo_A1real_14_data,-0.43486196,0.103475034,-0.0046540075,0.1727551
Yahoo_A1real_15_data,-0.91718704,-0.53623885,-0.7267104,2.2861316
Yahoo_A1real_16_data,-1.0753458,0.6023717,-0.73393685,0.041778963
Yahoo_A1real_17_data,-0.4931167,-0.27364978,0.8864198,0.80903524
Yahoo_A1real_18_data,-0.88886917,-0.8874951,-0.6027559,2.3879616
Yahoo_A1real_19_data,0.0052298796,0.13964052,0.31543824,-0.30924633
Yahoo_A1real_1_data,1.1979843,-0.61959,0.84816897,-0.41377813
Yahoo_A1real_20_data,0.032971967,0.21095558,0.011990507,-0.40464965
Yahoo_A1real_21_data,-0.8072014,-1.1042126,0.45063967,2.1148498
Yahoo_A1real_22_data,-0.23688552,0.5601092,-0.47263795,-0.78979087
Yahoo_A1real_23_data,0.3501092,-0.7041838,1.1841385,0.33333224
Yahoo_A1real_24_data,-0.88615984,-0.9377646,-0.50707513,2.3722897
Yahoo_A1real_25_data,-0.91434705,-1.1713824,-0.762348,2.6110837
Yahoo_A1real_26_data,-0.2883094,-0.036331944,-0.108226255,0.5822319
Yahoo_A1real_27_data,-0.8620045,-0.9603893,-0.46410868,2.4547641
Yahoo_A1real_28_data,-0.006909735,0.092904516,0.027395347,-0.04933002
Yahoo_A1real_29_data,-0.5281477,0.06193585,-0.070556685,0.8030984
Yahoo_A1real_2_data,-0.9233989,-0.9953693,-0.7071998,2.473956
Yahoo_A1real_30_data,-0.97778314,-0.063363574,-0.73211473,1.850324
Yahoo_A1real_31_data,-0.9075087,-1.1745094,-0.5203627,2.4934978
Yahoo_A1real_32_data,-0.2529939,0.623839,-0.62324226,-0.91034335
Yahoo_A1real_33_data,-0.037711725,-0.2742448,0.12672585,0.75658536
Yahoo_A1real_34_data,-0.4092625,0.64559186,-0.7070516,-0.7731413
Yahoo_A1real_35_data,-0.8235667,-0.90315,-0.40540022,2.419694
Yahoo_A1real_36_data,-0.021611549,0.607801,-0.69763374,-1.0162324
Yahoo_A1real_37_data,-0.056945007,-0.62172633,1.4810529,0.41265967
Yahoo_A1real_38_data,0.32435578,-0.29369497,0.8899931,0.097302
Yahoo_A1real_39_data,1.5032276,-0.03800746,-0.022971276,-0.87821454
Yahoo_A1real_3_data,-0.89824367,-1.0418153,-0.7582036,2.6245415
Yahoo_A1real_40_data,-0.49137115,0.6721782,-0.7803935,-0.75591654
Yahoo_A1real_41_data,-0.52149546,-0.037469395,0.0995514,0.8605816
Yahoo_A1real_42_data,-0.7745938,-0.597686,0.044766907,1.7944436
Yahoo_A1real_43_data,1.6763566,-0.038629837,-0.114111274,-1.0322914
Yahoo_A1real_44_data,-0.16583432,0.56541836,-0.56996846,-0.7442359
Yahoo_A1real_45_data,0.4160453,-0.8745587,1.3347657,0.29102847
Yahoo_A1real_46_data,-0.8622976,-1.2383876,0.041093525,2.3846033
Yahoo_A1real_47_data,-0.8604254,-0.36552253,-0.44772586,1.9131466
Yahoo_A1real_48_data,-0.789133,0.554211,0.060770053,-0.20552412
Yahoo_A1real_49_data,-0.88886917,-0.8874951,-0.6027559,2.3879616
Yahoo_A1real_4_data,-0.87987536,-0.32887375,-0.36199895,1.8532351
Yahoo_A1real_50_data,-0.9585651,-0.1693649,-0.74800414,1.8512695
Yahoo_A1real_51_data,-0.6861797,-0.5451951,-0.083619915,1.9708412
Yahoo_A1real_52_data,0.3608324,-0.4537585,0.76381195,0.25256905
Yahoo_A1real_53_data,-0.88615984,-0.9377646,-0.50707513,2.3722897
Yahoo_A1real_54_data,-0.87058604,-0.21277615,-0.5466677,1.7628841
Yahoo_A1real_55_data,1.756694,-0.11147379,-0.11997475,-0.99178845
Yahoo_A1real_56_data,0.65189016,0.23419908,-0.2820875,-0.724363
Yahoo_A1real_57_data,-0.088309765,0.43729022,-0.37850463,-0.76305693
Yahoo_A1real_58_data,-0.90652883,-1.1182572,-0.66064197,2.5269935
Yahoo_A1real_59_data,-0.76061094,-1.0558988,1.6729585,1.4818487
Yahoo_A1real_5_data,1.8061454,0.15436043,-0.61306375,-1.2523854
Yahoo_A1real_60_data,-0.9083656,0.21430832,-0.51340497,1.0915693
Yahoo_A1real_61_data,-1.1652142,0.5554636,-0.8887955,0.34901425
Yahoo_A1real_62_data,-0.8962823,-1.0270396,-0.6689783,2.596828
Yahoo_A1real_63_data,-0.050127465,-1.0169754,0.9640656,1.148627
Yahoo_A1real_64_data,-0.722314,0.60180116,-0.73045886,-0.27812195
Yahoo_A1real_65_data,0.44235355,0.33011332,-0.26683918,-0.8546045
Yahoo_A1real_66_data,-0.8906788,-0.4711491,-0.43116087,1.8613814
Yahoo_A1real_67_data,-0.88697773,-1.098799,-0.715864,2.6482685
Yahoo_A1real_6_data,-0.88834,-0.34890482,-0.6414854,2.1010633
Yahoo_A1real_7_data,-0.8907742,-1.0590473,-0.19099747,2.2301185
Yahoo_A1real_8_data,-0.80310464,-0.07931863,0.03774335,1.2443408
Yahoo_A1real_9_data,1.8898712,0.09048009,-0.622594,-1.2458594
ambient_temperature_system_failure,0.19416425,-0.27501264,0.71918243,0.19268475
art_daily_flatmiddle,-0.502539,-0.30681464,1.3480146,0.57302946
art_daily_jumpsdown,0.056477543,-0.053415325,0.92346144,-0.1951443
art_daily_jumpsup,-0.7535101,-0.7601249,1.5210232,0.9208582
art_daily_nojump,0.38462377,-0.004698333,0.7286969,-0.5245536
art_increase_spike_density,2.1476197,-0.3529789,-0.5634031,-1.1051567
art_load_balancer_spikes,0.21537748,0.1324056,0.20880976,-0.4407556
cpu_utilization_asg_misconfiguration,2.1241262,-0.3308954,-0.5861403,-1.0931348
ec2_cpu_utilization_24ae8d,1.6623204,0.073645316,-0.3653077,-1.0761389
ec2_cpu_utilization_53ea38,2.1528273,-0.31463507,-0.65238386,-1.1524583
ec2_cpu_utilization_5f5533,2.1376133,-0.336156,-0.56647474,-1.1132779
ec2_cpu_utilization_77c1ca,-0.76571006,-0.7405472,1.5233918,0.9266092
ec2_cpu_utilization_825cc2,2.0982957,-0.31926298,-0.49992537,-1.0947652
ec2_cpu_utilization_ac20cd,-0.7587966,-0.9616218,1.8286673,1.2750452
ec2_cpu_utilization_fe7f93,0.15682769,0.19707969,0.3431281,-0.61500907
ec2_disk_write_bytes_1ef3de,0.24454318,0.3182618,0.11776808,-0.8113469
ec2_disk_write_bytes_c0d644,-0.8292146,-0.86474854,0.99396944,1.4025621
ec2_network_in_257a54,-1.0772183,0.29920313,-0.71384317,1.0125716
ec2_network_in_5abac7,1.2619348,0.08498604,0.019631237,-1.0323656
ec2_request_latency_system_failure,0.49684572,-0.6956308,0.65260214,0.39136666
elb_request_count_8c0756,1.9855596,-0.5351908,0.06851269,-0.85383844
exchange-2_cpc_results,2.0762491,-0.4294638,-0.20875266,-0.9977329
exchange-2_cpm_results,2.1190124,-0.46284616,-0.2727588,-1.0074606
exchange-3_cpc_results,-0.7865033,-0.9962038,1.1271236,1.5382411
exchange-3_cpm_results,1.960681,-0.21095529,-0.29282108,-1.0757136
exchange-4_cpc_results,1.1961036,0.25264627,-0.2735094,-1.1192192
exchange-4_cpm_results,1.5522164,0.14797865,-0.3289698,-1.1565185
grok_asg_anomaly,1.2038547,-0.23423645,0.13362725,-0.593703
iio_us-east-1_i-a2eb1cd9_NetworkIn,1.0145692,0.25283724,-0.25068632,-1.0952617
machine_temperature_system_failure,-0.518515,-0.9789922,1.9010488,1.0524414
nyc_taxi,2.0835788,-0.42025235,-0.37191892,-0.97986484
occupancy_6005,-0.06640661,-0.7485444,2.0258682,0.16413306
occupancy_t4013,0.052812904,-0.76424646,1.9455826,0.07859956
rds_cpu_utilization_cc0c53,1.9237341,-0.23419675,-0.32014328,-1.0048077
rds_cpu_utilization_e47b3b,2.135014,-0.29209086,-0.6380449,-1.1519307
rogue_agent_key_hold,-0.15183997,-0.18616974,0.8137719,0.11695818
rogue_agent_key_updown,-0.609392,0.59184307,-0.5546543,-0.58243376
speed_6005,1.5710917,-0.80925196,0.8888362,-0.56053376
speed_7578,-0.8685544,-1.0779666,-0.38212636,2.4546402
speed_t4013,-0.7049769,-0.5681865,-0.021325506,1.9642646
