Dataset,AE_1,AE_2,AE_3,AE_4
Yahoo_A1real_33_data,3.6714156,1.5286678,-0.10527775,-0.6843773
Yahoo_A1real_34_data,6.2276387,1.517015,0.5518748,0.80854756
Yahoo_A1real_35_data,4.796188,6.464823,-0.5923371,-0.28959936
Yahoo_A1real_36_data,6.625294,0.841052,-0.0475941,0.7368003
Yahoo_A1real_37_data,2.4168723,-2.705628,-1.6147805,-2.350622
Yahoo_A1real_38_data,5.277729,-4.521331,-2.6098275,-3.1222703
Yahoo_A1real_39_data,5.743847,-4.9574537,-1.4648063,-1.084796
Yahoo_A1real_40_data,4.6455426,4.056762,-0.86124337,0.073669516
Yahoo_A1real_41_data,3.882815,2.9143217,-0.8835973,-1.1398395
Yahoo_A1real_42_data,2.5931067,-0.94022965,-1.294245,-2.2191803
Yahoo_A1real_43_data,6.048848,-4.926953,-0.25774604,-0.3820664
Yahoo_A1real_44_data,5.929406,1.0689981,0.3537474,0.14254299
Yahoo_A1real_45_data,3.0823376,-1.7658241,-1.7937723,-1.7855109
Yahoo_A1real_46_data,5.424309,3.693105,1.3359388,-0.02116615
Yahoo_A1real_47_data,5.8401275,3.7976687,1.5908412,1.0006757
Yahoo_A1real_48_data,3.0020866,-2.2256258,-1.7952814,-2.6755912
Yahoo_A1real_49_data,5.9107842,2.9867222,2.2798433,1.1812148
Yahoo_A1real_50_data,6.5145326,4.716688,1.9632397,2.021187
Yahoo_A1real_51_data,4.535398,4.947217,-1.3130082,-0.89006954
Yahoo_A1real_52_data,2.2533517,-3.6690962,-2.402117,-2.1553998
Yahoo_A1real_53_data,5.1559873,3.1032891,1.9935338,0.88986737
Yahoo_A1real_54_data,7.863817,5.773094,1.1821356,1.0700568
Yahoo_A1real_55_data,5.8469043,-3.775364,0.33841068,-0.18760756
Yahoo_A1real_56_data,5.299394,0.9148168,-0.91405445,-0.9338179
Yahoo_A1real_57_data,5.7311673,0.3807817,0.2310175,-0.09803472
Yahoo_A1real_58_data,7.147826,3.8535097,3.538185,2.0220191
Yahoo_A1real_59_data,4.1921635,2.7808406,-0.84458524,-1.1517724
Yahoo_A1real_60_data,4.3927646,5.4945564,-0.7346221,0.0051786555
Yahoo_A1real_61_data,7.817989,5.2707624,0.7985394,3.049768
Yahoo_A1real_62_data,6.132628,18.976057,-3.5228674,7.6680346
Yahoo_A1real_63_data,4.674663,2.389571,-0.012318046,-0.66243637
Yahoo_A1real_64_data,4.5421524,4.547457,-0.979325,-0.10543332
Yahoo_A1real_65_data,4.1927724,-0.6959481,-0.5478563,-0.8154388
Yahoo_A1real_66_data,2.7912507,-2.3707182,-1.7349342,-2.2556717
Yahoo_A1real_67_data,6.4097686,15.180687,-5.807631,7.382761
IOPS_3,-1.8812405,-1.0460217,-2.077818,3.0794759
IOPS_11,-1.8270459,-0.90900844,-2.1121817,3.1241217
IOPS_19,-0.39779142,-3.4476178,-1.1939895,3.6361842
IOPS_24,-0.81352216,-1.487617,-1.0970408,3.4545858
IOPS_46,-0.51896816,-1.4550804,0.10425839,3.2624204
IOPS_52,-1.7437994,-8.795318,-5.9265585,5.1294565
IOPS_59,-0.32949856,-2.7622879,-0.76671004,3.7963045
IOPS_68,-1.0243925,-1.1190492,-0.8445943,3.2525303
IOPS_71,-1.2619994,-0.4583945,-0.8429057,2.6049685
IOPS_81,-1.0527332,-0.6244488,-0.69332355,2.9639344
IOPS_87,-0.9866658,-1.5622488,-1.0816517,3.3398268
IOPS_89,-1.6098435,-4.523551,-3.7582204,3.2428925
IOPS_94,-1.1381348,-1.4275029,-0.4684867,2.8262799
IOPS_96,-0.87795097,-3.4802284,-1.0146117,3.071335
IOPS_102,-1.4460094,-1.0813144,-1.6024294,3.0090606
IOPS_103,-0.4108756,-3.0925508,-0.033678442,3.64273
IOPS_104,-0.59410876,-1.1639022,0.462948,2.8613226
IOPS_116,-0.32211235,0.024507673,-0.62682635,2.513295
IOPS_118,-0.5096304,-1.4335927,-0.563385,3.1415243
IOPS_121,-0.17591469,-1.5864725,-0.2670838,3.3236566
IOPS_127,-3.2247987,-3.6564238,-1.6206405,1.9326037
IOPS_128,-2.761979,-1.0745018,-0.6887701,2.4137104
IOPS_186,3.1487923,-8.034067,-0.99289685,5.1011257
IOPS_192,6.483082,-7.400325,-0.24948509,6.390176
IOPS_194,-0.3559883,-0.14890276,-1.0332923,3.7713873
IOPS_199,-0.34537032,-4.246332,-1.0928581,4.0575447
IOPS_218,-0.9563106,-1.6580186,-1.4712607,3.7894747
IOPS_225,-1.6529148,-1.5131556,-2.204222,3.1499932
IOPS_236,-2.144281,-1.163144,-2.1019466,3.4776518
IOPS_241,1.8282489,-0.9488597,-2.0421684,4.640244
IOPS_242,6.3805075,-1.5074086,-4.60302,9.419461
IOPS_243,5.0280952,3.054085,-1.6448133,9.942741
IOPS_246,2.7309191,1.2090621,-2.6900377,7.0740013
IOPS_255,-0.29823175,-0.1462533,-1.1476452,4.2364283
IOPS_256,-0.97028524,-0.5207527,-1.3549783,3.8704777
IOPS_261,-0.07791667,-2.6244924,-0.58707565,3.5714753
IOPS_264,-0.66200346,-0.46926472,-0.8847272,2.9991195
IOPS_267,-1.8073959,-1.0475849,-1.9979478,3.2585344
IOPS_269,0.22426589,-1.6871381,0.08461237,1.7849343
IOPS_275,0.5765571,-3.4090226,0.34641138,3.5704496
IOPS_285,-1.051259,-0.3267361,-1.5131484,3.2503812
IOPS_319,-0.6228698,-1.8346828,-1.3131859,2.8767211
IOPS_327,-0.8086522,-2.3207824,-2.81846,4.113885
IOPS_328,-0.83600754,-0.3826318,-1.8556805,7.017373
IOPS_329,3.4645066,-0.07774176,-3.9823837,8.707719
IOPS_330,5.3226514,-1.9993678,-3.7955022,7.9660788
IOPS_331,-0.6708104,-1.7745955,-2.126591,4.4414973
IOPS_333,-1.4673754,-0.09174363,-1.160303,3.8364277
IOPS_334,-1.0113368,-1.5470173,-2.0982552,3.8304236
IOPS_337,1.100408,0.08071999,-2.17219,5.6565447
IOPS_338,3.805462,-1.397169,-2.970114,6.969113
IOPS_342,2.3464518,0.7946356,-3.4964907,8.309125
IOPS_344,-1.3062537,-1.0245392,-0.9496893,2.8618248
IOPS_353,0.44899556,-3.07663,0.14082977,3.930076
IOPS_365,-1.1074941,-3.523791,-2.7189827,3.7813382
IOPS_381,-2.4890966,-9.88913,-8.227534,5.352749
IOPS_393,-0.43493727,-2.8083813,-1.7270811,3.7611506
IOPS_394,0.54395944,-2.651511,0.103981525,3.2655227
IOPS_396,-0.056978267,-2.388447,-0.8503507,3.6090872
IOPS_401,-1.43372,-1.3229198,-1.699952,3.1202474
IOPS_418,-2.8680172,-3.1223316,-0.7717648,1.5853472
IOPS_427,-1.1092329,-2.7541134,-1.0770973,3.9890358
IOPS_450,-0.7344784,-0.83983517,-0.5491951,3.1433008
IOPS_459,-1.8419467,-1.292536,-2.1099918,3.470311
IOPS_461,-0.2617691,-2.1231377,-0.4492686,3.4520915
IOPS_475,-0.49202874,-4.086415,-0.22796407,3.496763
IOPS_478,-0.4750611,-2.779368,-0.17138264,3.2683604
