Dataset,AE_1,AE_2,AE_3,AE_4,AE_5,AE_6,AE_7,AE_8,AE_9,AE_10,AE_11,AE_12,AE_13,AE_14,AE_15,AE_16
IOPS_89,-0.39428025,-0.1267296,-0.6379475,-0.15158133,-0.22725411,0.32843992,-0.4194387,0.2077765,0.3162915,-0.06804319,-0.24767913,0.03845359,-0.8177103,0.2535035,-0.80550015,-0.51960194
IOPS_94,-0.14216767,-0.46776396,-0.6416303,-0.39788178,-0.1346894,-0.17601413,-0.30960795,-0.02611203,0.24027556,0.14629415,-0.021774385,0.5362329,-0.8920246,0.6371276,-0.5801226,-0.30448142
IOPS_96,-0.5447977,-0.14970797,-0.75652283,0.6217862,-0.39549142,0.4593599,-0.22719634,0.022945799,0.3281596,-0.2337938,-0.58806777,-0.046303008,-0.6500615,0.12987654,-0.91634804,-0.38389763
TravelTime_387,-0.52946097,0.28079244,-0.47791728,0.083953455,-0.4764431,0.56284344,-0.2709659,-0.2509242,0.4267599,-0.3330928,-0.45547476,-0.32474458,-0.6871951,-0.12180342,-1.0135659,-0.2919958
TravelTime_451,-0.121571526,-0.06504572,-0.26927286,-0.74396,-0.13712756,-0.19397458,-0.46721718,-0.041162938,-0.14765215,0.011417326,0.2042546,-0.14339533,-0.4630557,0.15571935,-0.17731835,-0.55141807
Twitter_volume_AAPL,-0.4848828,-0.32079536,-0.037888315,-0.45923775,-0.07540257,-0.47415033,0.10743586,0.15156762,-0.63572836,-0.19473208,-0.14530562,-0.45158502,0.9378352,-0.2086655,0.64369583,-0.46786457
Twitter_volume_AMZN,-0.4550968,0.23736592,-0.46409968,-0.24145119,-0.3799157,0.618605,-0.42750502,0.07537365,0.38138318,-0.22451028,-0.27092987,-0.29911277,-0.76011,-0.046712242,-0.89935803,-0.54864305
Twitter_volume_CRM,-0.24648234,0.03845613,-0.35270017,-0.7034802,-0.21338853,0.22256276,-0.5610327,0.14714652,0.11961249,-0.06623815,0.13111405,-0.18541232,-0.7660718,0.122564375,-0.5071181,-0.6285171
Twitter_volume_CVS,0.12827177,-0.51652783,-0.5987338,-0.72310346,-0.00217755,-0.54788965,-0.32182735,-0.5800854,-0.632645,0.347274,0.42288634,-0.10841063,0.062464602,0.074172646,0.8643803,-0.42604703
Twitter_volume_FB,-0.4208901,0.6668091,0.449931,-0.7586445,-0.50506914,0.2862413,-0.48618793,-0.3691537,-0.028643545,-0.34964293,0.2940442,-0.5368255,-0.5354051,-0.3467871,-0.54429394,-0.35552657
Twitter_volume_GOOG,-0.5148641,0.2361321,-0.4994371,0.05405693,-0.5105926,0.6745158,-0.26607522,-0.17421521,0.44803074,-0.30844462,-0.41226852,-0.30255613,-0.6957269,-0.1100771,-0.98487014,-0.3593927
Twitter_volume_IBM,-0.49204203,0.15987563,-0.4903237,-0.10881971,-0.43917426,0.57568866,-0.3194228,-0.05509695,0.41211045,-0.25403395,-0.34504062,-0.22345066,-0.74942636,0.005078427,-0.9456497,-0.4324018
Twitter_volume_KO,-0.37997842,0.1803227,0.22069438,-0.7967876,-0.26602927,-0.034156322,-0.51175374,0.09276766,-0.42625704,-0.22325122,0.23601106,-0.49156293,-0.13173261,-0.2094766,0.039251212,-0.595152
Twitter_volume_PFE,-0.34607154,-0.13388939,-0.4980631,-0.4426013,-0.27902168,0.17920607,-0.35033247,0.062450066,0.29454008,-0.090536736,-0.13069245,0.08395191,-0.8107889,0.30417633,-0.7410178,-0.46447426
Twitter_volume_UPS,-0.37514696,-0.43203494,-0.21483228,-0.5278551,-0.10957007,-0.506154,0.16251346,-0.13522123,-0.49659905,-0.062329456,-0.06260126,-0.20760162,0.67785037,-0.022570021,0.54715526,-0.3444324
Yahoo_A1real_10_data,-0.57005805,-0.12721162,-0.77510643,0.58671653,-0.23480068,0.31120458,-0.30831438,0.1318892,0.26807967,-0.16860013,-0.56759304,-0.0116650285,-0.70727926,0.18617338,-0.95212644,-0.4454964
Yahoo_A1real_11_data,-0.49211565,-0.05824522,0.041579653,-0.41530177,-0.1599147,-0.15445986,-0.05312484,0.100511245,-0.48186,-0.24400592,-0.09818056,-0.5202872,0.559978,-0.35308293,0.33795303,-0.33090943
Yahoo_A1real_12_data,-0.107994266,0.018223014,-0.3981975,-0.73865914,0.014110539,0.041148998,-0.7273147,0.31036654,-0.23699014,0.13139325,0.21458529,-0.47874644,-0.47663313,-0.118341096,0.046532694,-0.72030646
Yahoo_A1real_13_data,-0.59139204,-0.31978187,-0.039346583,-0.29003537,-0.05710593,-0.41051802,0.45713094,0.14687428,-0.5969276,-0.23564821,-0.3667843,-0.46690682,1.4843528,-0.3602333,0.7054041,-0.3234884
Yahoo_A1real_14_data,-0.3016024,0.1633826,0.024054265,-0.73509115,-0.19817933,0.0688713,-0.6379379,0.004607662,-0.21098983,-0.03861477,0.19465679,-0.41741735,-0.44632673,-0.12398234,-0.12587678,-0.54232967
Yahoo_A1real_15_data,-0.5890096,-0.3503289,-0.07829345,-0.2828004,-0.048205674,-0.42193764,0.49574518,0.12705174,-0.59213763,-0.23240468,-0.38058406,-0.46105954,1.5273504,-0.35576928,0.72898185,-0.31620547
Yahoo_A1real_16_data,-0.57831323,0.35938343,0.6348136,-0.58340305,-0.38831833,-0.053168368,-0.39544946,-0.22669077,-0.46646008,-0.3168081,0.12653251,-0.567333,0.007654159,-0.40477172,0.01940507,-0.2818216
Yahoo_A1real_17_data,-0.15218939,-0.32569468,-0.40416646,-0.6962364,-0.07485297,-0.33489725,-0.34407207,-0.16544797,-0.36629534,0.124341235,0.10640363,-0.06295399,-0.15293851,0.059383217,0.31581447,-0.33130485
Yahoo_A1real_18_data,-0.38669538,-0.5419013,-0.47547835,-0.19238304,-0.025375037,-0.43932158,0.47506556,-0.1622289,-0.63302505,-0.16097689,-0.23712528,-0.4655769,1.5059905,-0.3408112,0.96385735,-0.31592503
Yahoo_A1real_19_data,-0.37617993,0.1357137,-0.1325203,-0.650394,-0.24983479,0.14257762,-0.51578325,-0.079302505,0.06617784,-0.09231606,0.0019064369,-0.18819144,-0.68796366,0.004694591,-0.53328997,-0.40786391
Yahoo_A1real_1_data,-0.39331013,-0.2189488,-0.65942234,-0.099969484,-0.1329312,0.14027427,-0.3980041,0.22727324,0.2521477,-0.0003435269,-0.31078303,0.2126975,-0.82896316,0.33658394,-0.8385718,-0.43395656
Yahoo_A1real_20_data,-0.38397753,0.2643187,-0.11072781,-0.66481936,-0.22276823,0.13638158,-0.55930686,-0.152899,0.12920864,-0.16432643,0.007761787,-0.3675999,-0.6673331,-0.031745646,-0.57428086,-0.4098064
Yahoo_A1real_21_data,-0.11228532,-0.62564796,-0.72979075,-0.3305888,-0.016495874,-0.45373252,-0.0042782133,-0.699482,-0.7753541,0.3329297,0.15163797,-0.3458215,0.76387155,-0.25140303,1.2798524,-0.26630223
Yahoo_A1real_22_data,-0.42346045,0.54540515,0.14754473,-0.6133803,-0.36585203,0.26444927,-0.5110707,-0.34495518,0.11571627,-0.23223999,0.07892203,-0.52370584,-0.75983113,-0.27317536,-0.6046582,-0.2523216
Yahoo_A1real_23_data,-0.13540201,-0.24514546,-0.6147787,-0.62635255,0.006680947,-0.16786392,-0.5677852,-0.002332719,0.0129657695,0.28082258,0.120146975,0.13198951,-0.7551132,0.39353058,-0.3277083,-0.4849373
Yahoo_A1real_24_data,-0.40519917,-0.5738904,-0.5324467,-0.18252723,-0.030458566,-0.44855464,0.49578118,-0.25720805,-0.63543123,-0.11452943,-0.2290862,-0.44323593,1.4530089,-0.3421041,1.0056626,-0.25389037
Yahoo_A1real_25_data,-0.5074684,-0.67614186,-0.6244731,-0.052701812,-0.094557166,-0.50198364,1.0072433,-0.46129233,-0.48067752,-0.27267033,-0.3683157,-0.3783682,1.889139,-0.29717693,0.9521524,-0.13836995
Yahoo_A1real_26_data,-0.21822722,0.16259147,-0.13461609,-0.7166356,-0.06343421,0.08492096,-0.72116566,0.23447905,-0.2969375,0.070684664,0.20845576,-0.528996,-0.4111069,-0.18758279,0.04117135,-0.6646572
Yahoo_A1real_27_data,-0.41027862,-0.5760779,-0.49838212,-0.25624016,0.005684864,-0.4257777,0.45820636,-0.25379673,-0.64068806,-0.0035378516,-0.24133128,-0.42079857,1.4992229,-0.30554613,1.0118889,-0.30559647
Yahoo_A1real_28_data,-0.3542246,0.213375,-0.15123694,-0.6708102,-0.19540009,0.2467137,-0.6422758,0.06547663,-0.009979572,-0.0009042947,0.080623515,-0.37289202,-0.6434159,-0.0877493,-0.4048166,-0.5668029
Yahoo_A1real_29_data,-0.31515136,0.0332559,-0.04115855,-0.7622624,-0.09036592,-0.025072353,-0.6276284,0.17350319,-0.42965248,0.05122367,0.1600537,-0.49124834,-0.1279618,-0.18962727,0.17965187,-0.6242844
Yahoo_A1real_2_data,-0.4802085,-0.6035363,-0.48132858,-0.14565888,-0.054255947,-0.4996715,0.79682314,-0.24227053,-0.52263796,-0.30137613,-0.32680872,-0.39767468,1.7069607,-0.3103204,0.88769037,-0.1980949
Yahoo_A1real_30_data,-0.6379211,-0.096141495,0.2718189,-0.33211935,-0.15911831,-0.3408025,0.25356692,0.17006536,-0.59513503,-0.29542375,-0.24862665,-0.4795598,1.1760921,-0.38648054,0.490993,-0.31564203
Yahoo_A1real_31_data,-0.4460919,-0.6896354,-0.6219567,-0.1442287,-0.061882768,-0.48442367,0.8073978,-0.49351534,-0.5191929,-0.1793003,-0.24427696,-0.34738222,1.6708752,-0.27342844,0.9677991,-0.1685124
Yahoo_A1real_32_data,-0.40547374,0.5998316,0.26865226,-0.6356366,-0.4095411,0.3740711,-0.5400739,-0.38186383,0.22129236,-0.28063098,0.10065509,-0.53407234,-0.73948365,-0.32618037,-0.68509316,-0.23874816
Yahoo_A1real_33_data,-0.107994266,0.018223014,-0.3981975,-0.73865914,0.014110539,0.041148998,-0.7273147,0.31036654,-0.23699014,0.13139325,0.21458529,-0.47874644,-0.47663313,-0.118341096,0.046532694,-0.72030646
Yahoo_A1real_34_data,-0.39070067,0.64508367,0.31006658,-0.66177404,-0.3929999,0.36231822,-0.5949063,-0.2967799,0.11686886,-0.24830428,0.16411667,-0.59527606,-0.68052804,-0.35629928,-0.57918483,-0.3382612
Yahoo_A1real_35_data,-0.33377182,-0.53991604,-0.5206301,-0.26975498,0.03712766,-0.39846432,0.2548718,-0.21256875,-0.7194734,0.085459456,-0.16027331,-0.48301706,1.3558893,-0.34021887,1.1060929,-0.37644124
Yahoo_A1real_36_data,-0.41891038,0.6935693,0.1777829,-0.5405375,-0.43441582,0.4787302,-0.5129796,-0.39407986,0.31335172,-0.27575806,0.030347535,-0.5732441,-0.7855988,-0.3408538,-0.80956805,-0.23409627
Yahoo_A1real_37_data,0.008040882,-0.3809598,-0.601366,-0.747429,0.029344482,-0.35294038,-0.5011642,-0.19450276,-0.10763452,0.31503415,0.21791145,0.26037005,-0.6518241,0.41946295,-0.032206565,-0.33488765
Yahoo_A1real_38_data,-0.2809285,-0.13348307,-0.47124407,-0.6788685,-0.10077013,-0.016010428,-0.58642554,0.0038754304,0.060078286,0.08281797,-0.026252883,-0.013332287,-0.673402,0.25018412,-0.46853718,-0.55395925
Yahoo_A1real_39_data,-0.5381137,0.19125602,-0.5684861,0.20914787,-0.3779183,0.5202523,-0.35920805,-0.14739166,0.33671796,-0.26340818,-0.5068784,-0.2889575,-0.7073493,-0.08797817,-0.9335064,-0.36298338
Yahoo_A1real_3_data,-0.60090643,-0.6264126,-0.4480513,-0.18788606,-0.035150852,-0.5033752,0.95872045,-0.26133743,-0.49902257,-0.19211066,-0.46714061,-0.37209052,1.9352041,-0.2973187,0.9132182,-0.1925626
Yahoo_A1real_40_data,-0.43407345,0.6979391,0.3580775,-0.62942743,-0.40225735,0.39042315,-0.6136039,-0.32849777,0.044122428,-0.1933239,0.1690357,-0.63534987,-0.6588891,-0.40845668,-0.5075223,-0.3113247
Yahoo_A1real_41_data,-0.23951708,-0.03869091,-0.15805799,-0.7415762,-0.048315015,-0.13834526,-0.56827015,0.09583281,-0.41034237,0.058350023,0.16494226,-0.4393135,-0.0942968,-0.14675339,0.23664808,-0.60204774
Yahoo_A1real_42_data,-0.34983242,-0.4937439,-0.34645563,-0.37501517,-0.06089541,-0.4036303,0.12357785,-0.1762145,-0.6594929,-0.024813686,-0.07002993,-0.35471958,0.78665054,-0.2998818,0.8283567,-0.24666172
Yahoo_A1real_43_data,-0.54302055,0.17187609,-0.5860225,0.37639812,-0.44576234,0.4753144,-0.28710055,-0.29414928,0.3448001,-0.3424843,-0.550569,-0.34282878,-0.66652274,-0.107957736,-0.93786263,-0.28061327
Yahoo_A1real_44_data,-0.40805665,0.5926445,0.12731071,-0.6267824,-0.3562128,0.42220214,-0.5893686,-0.20607924,0.18297808,-0.22322756,0.043136787,-0.57062495,-0.70274967,-0.31546444,-0.67188203,-0.3842007
Yahoo_A1real_45_data,-0.017810415,-0.3447299,-0.6855523,-0.638175,0.053009283,-0.22306675,-0.6025864,-0.0089633865,0.051672935,0.2959267,0.15018769,0.22675419,-0.80184275,0.46413553,-0.29709142,-0.49080074
